Step,Energy_eV_per_atom,NC
53500,-29.288359,0.2963
53600,-29.346214,0.2963
53700,-29.410509,0.2963
53800,-29.430090,0.2963
53900,-29.526729,0.2963
54000,-29.557887,0.2963
54100,-29.625818,0.2963
54200,-30.017898,0.2963
54300,-30.063261,0.2963
54400,-30.242840,0.2963
54500,-30.300242,0.2963
54600,-30.522097,0.2963
54700,-30.629851,0.2963
54800,-30.679357,0.2963
54900,-30.770818,0.2963
55000,-30.897215,0.2963
55100,-30.953201,0.2963
55200,-31.010115,0.2963
55300,-31.091598,0.2963
55400,-31.530893,0.2963
55500,-31.589853,0.2963
55600,-31.638561,0.2963
55700,-31.732803,0.2963
55800,-32.049140,0.2963
55900,-32.071718,0.2963
56000,-32.110264,0.2963
56100,-32.143047,0.2963
56200,-32.184527,0.2963
56300,-32.236745,0.2963
56400,-32.331981,0.2963
56500,-32.371413,0.2963
56600,-32.452100,0.2963
56700,-32.532172,0.2963
56800,-32.571725,0.2963
56900,-32.647784,0.2963
57000,-32.719614,0.2963
57100,-32.749299,0.2963
57200,-32.809660,0.2963
57300,-32.936270,0.2963
57400,-32.995184,0.2963
57500,-33.033130,0.2963
57600,-33.061919,0.2963
57700,-33.102769,0.2963
57800,-33.169654,0.2963
57900,-33.330953,0.2963
58000,-33.456551,0.3002
58100,-33.561555,0.3002
58200,-33.591722,0.3002
58300,-33.607827,0.3002
58400,-33.677975,0.3002
58500,-33.711475,0.3002
58600,-33.984904,0.3002
58700,-34.090821,0.3002
58800,-34.284149,0.3002
58900,-34.888086,0.2963
59000,-34.914562,0.2963
59100,-34.966496,0.2963
59200,-35.038533,0.2963
59300,-35.118920,0.2963
59400,-35.168192,0.2963
59500,-35.267524,0.2963
59600,-35.453309,0.2963
59700,-35.614405,0.2963
59800,-35.674641,0.3002
59900,-35.909257,0.3002
60000,-35.971907,0.3002
60100,-36.216747,0.3002
60200,-36.268958,0.3002
60300,-36.398959,0.3002
60400,-36.474362,0.3041
60500,-36.557428,0.3041
60600,-36.694016,0.3041
60700,-36.758074,0.3041
60800,-36.833334,0.3041
60900,-36.899245,0.3041
61000,-36.962070,0.3041
61100,-37.005754,0.3041
61200,-37.098794,0.3041
61300,-37.189334,0.3041
61400,-37.284249,0.3080
61500,-37.413354,0.3080
61600,-37.443598,0.3080
61700,-37.807120,0.3080
61800,-37.865803,0.3080
61900,-37.916057,0.3080
62000,-37.941131,0.3080
62100,-38.078180,0.3080
62200,-38.192092,0.3080
62300,-38.258885,0.3080
62400,-38.425406,0.3080
62500,-38.470024,0.3080
62600,-38.524442,0.3080
62700,-38.558054,0.3119
62800,-38.678404,0.3119
62900,-38.871896,0.3119
63000,-39.077967,0.3119
63100,-39.095186,0.3119
63200,-39.210093,0.3119
63300,-39.347886,0.3119
63400,-39.448869,0.3119
63500,-39.611769,0.3119
63600,-39.681878,0.3119
63700,-39.924962,0.3119
63800,-40.017255,0.3119
63900,-40.064374,0.3119
64000,-40.152457,0.3119
64100,-40.250818,0.3119
64200,-40.335721,0.3119
64300,-40.437770,0.3119
64400,-40.534243,0.3119
64500,-40.584050,0.3119
64600,-40.685680,0.3119
64700,-41.046197,0.3119
64800,-41.077727,0.3119
64900,-41.244008,0.3119
65000,-41.298113,0.3119
65100,-41.387423,0.3119
65200,-41.517072,0.3119
65300,-41.580503,0.3119
65400,-41.719187,0.3119
65500,-41.870134,0.3119
65600,-42.141122,0.3119
65700,-42.409517,0.3119
65800,-42.446930,0.3119
65900,-42.669575,0.3119
66000,-42.729553,0.3119
66100,-42.933399,0.3119
66200,-42.989456,0.3119
66300,-43.028783,0.3119
66400,-43.492023,0.3119
66500,-43.623982,0.3119
66600,-43.745701,0.3119
66700,-43.852690,0.3119
66800,-43.927562,0.3158
66900,-43.999672,0.3158
67000,-44.085142,0.3158
67100,-44.186019,0.3158
67200,-44.250624,0.3158
67300,-44.504090,0.3158
67400,-44.537963,0.3158
67500,-44.591722,0.3158
67600,-44.658178,0.3158
67700,-44.703702,0.3158
67800,-44.768835,0.3158
67900,-44.861915,0.3158
68000,-45.074131,0.3197
68100,-45.112141,0.3197
68200,-45.284201,0.3197
68300,-45.328503,0.3197
